stdName,CityFlag,motherName,enName_full,cnName_full,enName,val1,val2
江苏,FALSE,China,jiangsusheng,江苏省,jiangsu,10,50
北京,FALSE,China,beijingshi,北京市,beijing,15,40
上海,FALSE,China,shanghaishi,上海市,shanghai,20,30
黑龙江,FALSE,China,heilongjiangsheng,黑龙江省,heilongjiang,30,20
陕西,FALSE,China,shannxisheng,陕西省,shannxi,40,10
沧州,TRUE,河北,NA,NA,NA,10,50
保定,TRUE,河北,NA,NA,NA,15,40
石家庄,TRUE,河北,NA,NA,NA,20,30
邢台,TRUE,河北,NA,NA,NA,30,20
沧州,TRUE,河北,NA,NA,NA,40,10
保定,TRUE,河北,NA,NA,NA,10,50
邢台,TRUE,河北,NA,NA,NA,15,40
邯郸,TRUE,河北,NA,NA,NA,20,30
沧州,TRUE,河北,NA,NA,NA,30,20
廊坊,TRUE,河北,NA,NA,NA,40,10
沧州,TRUE,河北,NA,NA,NA,10,50
保定,TRUE,河北,NA,NA,NA,15,40
石家庄,TRUE,河北,NA,NA,NA,20,30
唐山,TRUE,河北,NA,NA,NA,30,20
石家庄,TRUE,河北,NA,NA,NA,40,10
廊坊,TRUE,河北,NA,NA,NA,10,50
保定,TRUE,河北,NA,NA,NA,15,40
衡水,TRUE,河北,NA,NA,NA,20,30
衡水,TRUE,河北,NA,NA,NA,30,20
唐山,TRUE,河北,NA,NA,NA,40,10
临汾,TRUE,山西,NA,NA,NA,10,50
太原,TRUE,山西,NA,NA,NA,15,40
临汾,TRUE,山西,NA,NA,NA,20,30
吕梁,TRUE,山西,NA,NA,NA,30,20
晋中,TRUE,山西,NA,NA,NA,40,10
晋城,TRUE,山西,NA,NA,NA,10,50
忻州,TRUE,山西,NA,NA,NA,15,40
运城,TRUE,山西,NA,NA,NA,20,30
运城,TRUE,山西,NA,NA,NA,30,20
长治,TRUE,山西,NA,NA,NA,40,10
吕梁,TRUE,山西,NA,NA,NA,10,50
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,15,40
锡林郭勒,TRUE,内蒙古,NA,NA,NA,20,30
兴安,TRUE,内蒙古,NA,NA,NA,30,20
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,40,10
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,10,50
锡林郭勒,TRUE,内蒙古,NA,NA,NA,15,40
通辽,TRUE,内蒙古,NA,NA,NA,20,30
乌兰察布,TRUE,内蒙古,NA,NA,NA,30,20
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,40,10
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,10,50
兴安,TRUE,内蒙古,NA,NA,NA,15,40
朝阳,TRUE,辽宁,NA,NA,NA,20,30
鞍山,TRUE,辽宁,NA,NA,NA,30,20
大连,TRUE,辽宁,NA,NA,NA,40,10
铁岭,TRUE,辽宁,NA,NA,NA,10,50
葫芦岛,TRUE,辽宁,NA,NA,NA,15,40
铁岭,TRUE,辽宁,NA,NA,NA,20,30
大连,TRUE,辽宁,NA,NA,NA,30,20
朝阳,TRUE,辽宁,NA,NA,NA,40,10
大连,TRUE,辽宁,NA,NA,NA,10,50
营口,TRUE,辽宁,NA,NA,NA,15,40
营口,TRUE,辽宁,NA,NA,NA,20,30
