ID	defaultValue	description
eOption_size	"c(1024,768)"	"图形尺寸，c(长，宽),单位为像素"
eOption_calculable	TRUE	是否启用拖拽重计算特性，默认开启
title_title	NULL	主标题文本，'\n'指定换行
title_subtitle	NULL	副标题文本，'\n'指定换行
title_x	left	水平安放位置，默认为左侧，可选为：'center' | 'left' | 'right' | {number}（x坐标，单位px）
title_y	top	垂直安放位置，默认为全图顶端，可选为：'top' | 'bottom' | 'center' | {number}（y坐标，单位px）
toolbox_show	TRUE	显示策略，可选为：true（显示） | false（隐藏）
toolbox_x	center	水平安放位置，默认为全图居中，可选为：'center' | 'left' | 'right' |?{number}（x坐标，单位px）
toolbox_y	top	垂直安放位置，默认为全图顶端，可选为：'top' | 'bottom' | 'center' |?{number}（y坐标，单位px）
toolbox_orient	horizontal	布局方式，默认为水平布局，可选为：'horizontal' | 'vertical'
toolbox_readOnly	FALSE	数据视图模块是否可编辑，默认开启
toolbox_mark	TRUE	是否开启辅助线开关，默认开启
toolbox_dataZoom	TRUE	是否开启区域缩放，默认开启
toolbox_magicType	TRUE	是否开启图形切换，默认开启，包括了柱图、折线图、堆叠和分组模式
toolbox_restore	TRUE	是否开启图形还原，默认开启
toolbox_saveAsImage	TRUE	是否开启静态图片保存，默认开启
legend_show	TRUE	是否显示图例，默认显示
legend_orient	horizontal	布局方式，默认为水平布局，可选为：'horizontal' | 'vertical'
legend_x	center	水平安放位置，默认为全图居中，可选为：'center' | 'left' | 'right' |?{number}（x坐标，单位px）
legend_y	top	垂直安放位置，默认为全图顶端，可选为：'top' | 'bottom' | 'center' |?{number}（y坐标，单位px）
legend_data	[]	"图例内容数组，数组项通常为{string}，每一项代表一个系列的name。使用根据该值索引series中同名系列所用的图表类型和itemStyle，如果索引不到，该item将默认为没启用状态。?如需个性化图例文字样式，可把数组项改为{Object}，格式为{name:?{string}, textStyle:?{Object}}"
eAxisX_show	TRUE	是否显示X坐标轴，默认显示
eAxisX_type	'category' | 'value'	坐标轴类型，横轴默认为类目型'category'，纵轴默认为数值型'value'
eAxisX_lim	"c(NA, NA)"	"指定的最小值及最小值，eg: 0，默认无，会自动根据具体数值调整，指定后将忽略c(boundaryGap[0], boundaryGap[1])"
eAxisX_name	NULL	坐标轴名称，默认为空
eAxisX_nameLocation	end'	坐标轴名称位置，默认为'end'，可选为：'start' | 'end'
eAxisX_scale	FALSE	脱离0值比例，放大聚焦到最终_min，_max区间
eAxisX_precision	0	小数精度，默认为0，无小数点
eAxisX_power	100	整数精度，默认为100，个位和百位为0
eAxisX_splitNumber	5	分割段数，默认为5
eAxisX_gap	[0,0]	数值轴两端空白策略，数组内数值代表百分比，[原始数据最小值与最终最小值之间的差额，原始数据最大值与最终最大值之间的差额]
eAxisX_data	[]	类目列表，同时也是label内容，
eAxisX_gap_2	TRUE	类目起始和结束两端空白策略，见下图，默认为true留空，false则顶头
eAxisX_position	bottom	坐标轴类型，横轴默认为类目型'bottom'，纵轴默认为数值型'left'，可选为：'bottom' | 'top' | 'left' | 'right'
eAxisX_layoutSetting	FALSE	是否进行坐标轴样式设计，默认开启
eAxisX_valueLabel	NULL	间隔名称格式器：{string}（Template） | {Function}
eAxisX_label_color	#eee/black	坐标轴文本样式：颜色
eAxisX_label_fontSize	12	字号 ，单位px
eAxisX_label_margin	10	坐标轴文本标签与坐标轴的间距，默认为8，单位px
eAxisX_label_rotate	0	标签旋转角度，默认为0，不旋转，正直为逆时针，负值为顺时针，可选为：-90 ~ 90
eAxisX_label_interval	auto	标签显示挑选间隔，默认为'auto'，可选为：'auto'（自动隐藏显示不下的） | 0（全部显示） | {number}（用户指定选择间隔）
eAxisX_tick_show	TRUE	是否显示，默认为false，设为true后下面为默认样式
eAxisX_tick_color	#fff/black	轴线样式：颜色
eAxisX_tick_length	10	轴线样式：轴线长度
eAxisX_tick_width	2	轴线样式：轴线宽度
eAxisX_splitLine	TRUE	分隔线是否显示
eAxisX_splitArea	TRUE	分隔区域是否显示
eAxisY_show	TRUE	是否显示Y坐标轴，默认显示
eAxisY_type	category' | 'value'	坐标轴类型，横轴默认为类目型'category'，纵轴默认为数值型'value'
eAxisY_lim	c(NA, NA)	"指定的最小值及最小值，eg: 0，默认无，会自动根据具体数值调整，指定后将忽略c(boundaryGap[0], boundaryGap[1])"
eAxisY_name	 	坐标轴名称，默认为空
eAxisY_nameLocation	end'	坐标轴名称位置，默认为'end'，可选为：'start' | 'end'
eAxisY_scale	FALSE	脱离0值比例，放大聚焦到最终_min，_max区间
eAxisY_precision	0	小数精度，默认为0，无小数点
eAxisY_power	100	整数精度，默认为100，个位和百位为0
eAxisY_splitNumber	5	分割段数，默认为5
